Rank,Team/User Name,School/Organization,Score
599,"Not a plushie","Listowel district secondary",150
600,"Ducky MoMo","Listowel District Secondary School ",150
601,"deyvisson123","Listowel ",150
602,"JackAttack","Huron Heights Secondary School",150
603,"muchconfusion","Leaside, HS",150
604,"Hyphen","LCSS",150
605,"TheMostHandsomeGuy3","Applewood Heights S.S.",150
606,"AAV23","IonaCS",150
607,"Dug","Iona",150
608,"yeboibennyyp","Iona Catholic Secondary School",150
609,"NishanthP","Applewood Heights Secondary School",150
610,"evanramasra","Malvern CI, Toronto ON",150
611,"colinw2","sisler",150
612,"Lucas8803","Loyola Catholic Secondary School",150
613,"dotdotdot","gvss",150
614,"The Screw Ups","Lorne Park Secondary School",150
615,"Geraldine3399","Holy Name of Mary, Brampton, ON",150
616,"AnkleGod","John Polanyi Collegiate Institute",150
617,"KoolKidsKlub","Jarvis collegiate institute",150
618,"360triplescope","Crestwood",150
619,"ourteamname","centre wellington district high school",150
620,"Fp0v0","Bayview ",150
621,"UmU","Newmarket High School, Newmarket, ON",150
622,"CharGang","NHS",150
623,"Jburtt","Sir Winston Churchill Secondary School",150
624,"IGoBarDownXD","Sir Winston Churchill SS",150
625,"Abdirizak25","John Polayni Collegiate Institute ",150
626,"OE1","Meadowvale Secondary School",100
627,"haseebkhawaja1","Ryerson University",100
628,"Brandon700","Loyola Catholic School, ON",100
629,"KATSURA","Louis Riel Arts and Technologie",100
630,"asdfadsfasdfasdfasdf","St. Michael C.S.S",100
631,"keip2","Applewood Heights Secondary School",100
632,"333688661","Silverthorn CI",100
633,"Annoyed People","Northern Secondary School",100
634,"TBone123","Holy Name of Mary",100
635,"Stewart123","Holy Name of Mary ",100
636,"WigeonHD","Leaside High School",100
637,"Tomatoaster","Dr. Norman Bethune C.I",100
638,"anuprachandran","Martingrove Collegiate Institute, Toronto, Ontario",100
639,"ethanol","Iona, Mississauga, ON",100
640,"DuskBox","IONA, Mississauga, ON",100
641,"Solo Yolo","Sisler High School",100
642,"goldencomputer","ARS Day School",75
643,"ararararararararagi1","Richmond Hill High School",50
644,"Brady","Meadowvale SS",50
645,"Superherm","Meadowvale secondary school",50
646,"Zodiac","Loyola Catholic Secondary School",50
647,"Saltmmm","ATC",50
648,"RobberRobbie","iona",50
649,"fuckers","Northern Secondary Scool",50
650,"can","Holy Name of Mary",50
651,"mahnoor","holy name of mary",50
652,"KiKi","Holy Name of Mary ",50
653,"ComputerKids","Holy Name of Mary Catholic Secondary School",50
654,"Blioze","Old Scona Academic High",50
655,"Dice0","rothesay high school",50
656,"gamezilla","J.Percy Page",50
657,"Crimson01","sisler",50
658,"ewinter8","Newmarket High School",50
659,"335627568","Markham District High School",50
660,"070183603","Newmarket High, Newmarket ON",50
661,"nathannguyen","John Polanyi Collegiate Instititue",50
662,"AwesomeDude233","iona",50
