Rank,Team/User Name,School/Organization,Score
435,"Ninja Doggy","Cupertino High School",13060
436,"AnyOne","any",13010
437,"Sudo_Nym","Spring-Ford High School",13010
438,"not_script_kiddies","IIT Bombay",13010
439,"The rejects","Richardson High School",12985
440,"kim0","Uni Salzburg",12985
441,"Barberousse","AGEEI",12985
442,"Aquaculture_Expansion_Pack","UNSW",12960
443,"Abs0lut3_Pwn4g3","Netaji Subhash University Of Technology",12960
444,"JBZTeam","P2 (not so)Secret Organization",12960
445,"F4U57","Oklahoma City Community College",12960
446,"th3id3ntity","United States Military Academy",12935
447,"PwningPretzels","TU Darmstadt",12910
448,"N0bardy","ntu",12910
449,"omg-team","omg sesurity",12910
450,"CatPawnHK","City University of Hong Kong",12910
451,"Eleanor Roosvelt Highschool","Eleanor Roosevelt HighSchool",12885
452,"Security First","SoonChunHyang University",12885
453,"Eleanor Roosevelt High School","Eleanor Roosevelt High School",12885
454,"Friedtempura","University of the Philippines",12885
455,"lkw","UWA",12860
456,"YellowMonkey","Richard Montgomery High School",12860
457,"truocphan","P T T",12860
458,"Zer0_","I__I",12835
459,"B1g F3ll4s","Langley Park School For Boys, Beckenham",12835
460,"Peleus","N/A",12835
461,"LasaRaptors","Liberal Arts and Science Academy, Austin, TX",12835
462,"pop_pop_ret","N/A",12810
463,"CSA","University of Texas at San Antonio",12785
464,"The_Delvers","Clear Springs High School",12785
465,"CorpOfHack","CorpOfHack",12785
466,"fatdragon","AhSmart",12735
467,"lyceum","UNSW",12685
468,"CTFlearn.com","Georgia Tech, Atlanta GA",12685
469,"ELEFT_","School, D, KR",12635
470,"hyperum","Singapore American School",12610
471,"saladetomate.onion","Université Bretagne Sud",12585
472,"Bongo Cats","Martin Luther King High School",12585
473,"bridge","WeThinkCode_",12585
474,"Chipotle","Glenbrook North",12560
475,"apcc","Azabu High School",12560
476,"Team Minorities","Nanyang Polytechnic",12560
477,"RB363","National Taiwan University",12560
478,"beeblebrox","Indian Institute of Technology, Bhilai",12535
479,"h̐͋̎͆ͪͫ͑ͦͦͤͬ͗ͮ̎ͧ̓ͦ̓̽̎̒̑̆̈́ͮͣ̎ͣ̏ͮ͐́͋̚","Wootton High School",12535
480,"nganu","What",12510
481,"T0X1C V4P0R","T0X1C V4P0R",12485
482,"xtz","SJTU",12460
483,"xdjibi","None",12460
484,"Branham Poetry Club","Branham High School",12435
485,"chepe","UNAM",12435
486,"segnateai","IIIT Allahabad",12435
487,"SMU Whitehat Society","Singapore Management University",12410
488,"JohnPwnJones","United States Naval Academy",12410
489,":thinking:","NUS High School",12410
490,"squircle","squircle",12410
491,"Just Ducky","Santa Clara University",12385
492,"greenhatguys","The Lazy Engineer",12385
493,"br_CR4CK","Freedom High School",12360
494,"lhscompsci","Lexington High School",12360
495,"RedDawn","USMA",12360
496,"Ciruela_no_heya","Hosei Univ.",12360
497,"metaxnet","Home",12335
498,"sec.se","School of Rock",12310
499,"avr.amit02@gmail.com","xyyyzzzzzz",12285
500,"HolyCTF","FPT University",12285
501,"SneakyPeaky","Norilsk Lyceum №3",12285
502,"127.0.0.1","Hamilton High School",12285
503,"defectors","IIT Roorkee",12285
504,"gerdHerd","Northern Secondary School",12285
505,"ABCD","H. Univ.",12285
506,"dtmb","UIT",12260
507,"NoCaptainsHere","TJHSST",12260
508,"ethical_Crackers","HKUST",12260
509,"echo $LESS_IS_MORE","Montgomery Blair",12210
510,"CyberMaster","UNSW",12210
511,"The Questionable Penguins","Dr. Norman Bethune C.I",12210
512,"osturkes","none",12185
513,"Bread","swinburne",12185
514,"Invulnerable","BMSTU",12185
515,"nandayo_","N/A",12135
516,"Mupphackarna","Danderyds Gymnasium",12135
517,"雲部共學","斗六高中",12110
518,"Bumb Array","Cedar Park High School",12110
519,"TeamVadSomHelst","VadSomHelst",12035
520,"Skye Nation","Binus University ",12035
521,"Newbie2018","University of Maryland",12035
522,"LFlare Army","St. Table of NULL",12010
523,"Pesky Icebergs","Clarkson Secondary School, Mississauga, ON",12010
524,"xdlok","Hong Kong University of Science and Technology",12010
525,"AndreyMan","Not Saying Inc",11960
526,"Cur5s1","BUPT",11960
527,"wintermute","Thales",11960
528,"ericzz","Other",11960
529,"itay","none",11935
530,"d3bug","private",11935
531,"vanish001","Sumisei Information System",11935
532,"The Emperors","INSAT",11910
533,"asby","Self Employed",11860
534,"pentatonext","Massachusetts Institute of Technology",11860
535,"Fellowship of Daryl","Warren Hills Regional Highschool",11860
536,"SoLY","Ntust",11835
537,"SourceCode-1","HEBTU",11835
538,"sinon","HKPU",11810
539,"b1n4ry4rms","null",11785
540,"Team Funds","Parent",11785
541,"fkroeger","Universität Hamburg",11735
542,"ar33zy","hsb",11735
543,"komputerwiz","Texas A&M University",11710
544,"jfjallid","KTH Royal Institute of Technology",11685
545,"lxf42","N/A",11685
546,"angelparliament","Oak Grove School",11685
547,"RSM High School","N/A",11635
548,"Team Cryptis","Cryptis",11635
549,"maishaandjamie and co","Tiffin Girls'",11635
550,"araneidanGalanty","Bergenfield High School",11635
551,"Galaxians","Galaxians",11635
552,"HRsafe11","systemstudio company",11635
553,"random_","PERTL",11610
554,"[NYUSEC] Passion","NYU",11610
555,"0xc0rnc0b","PTIT",11610
556,"Poetry Club","Branham High School, San Jose, CA",11585
557,"n00bt34m","ROC van Twente",11585
558,"rr34tw","NCTU",11585
559,"tykwaii","UIT",11560
560,"KHKO","AAAA",11560
561,"Altahax","The Altamont School",11560
562,"SoloN00b","University of Technology, Sydney",11535
563,"moormaster","camos Software & Beratung GmbH",11535
564,"MuchPainNoGain","h_da",11535
565,"tokumeiusagi","Personal",11510
566,"RSHU","RSHU",11510
567,"CawaYui","INCT",11510
568,"LonelyHacking","Escuela Politécnica Nacional",11510
569,"LuXeria","luxeria.ch",11510
570,"f0a","---",11510
571,"Wow2","TJHSST",11485
572,"Olympians Alpha Squad","Old Scona Academic",11485
573,"TorkyBlorky","Castleford Academy",11435
574,"Les Πrates","Université Bretagne Sud",11435
575,"sravanimeruva","Nirmala",11435
576,"ktateish","NTT",11435
577,"KnightsOfTemplar","UI, UI ,UI",11410
578,"Rainbooms","Carnegie Mellon University",11410
579,"Team Dr@c0","Del Norte High School",11410
580,"EmpireCTF","Imperial College London",11385
581,"Pietruszek","MIMUW, Warsaw, PL",11385
582,"NightFuryX","HVAN",11360
583,"nalesniki?!","Wroclaw University of Science and Technology",11335
584,"NISRA","FJU",11335
585,"attack helicopters","Virginia",11335
586,"2girls1backup","Lider Nauczania Zawodowego",11310
587,"AOR CTF","AOR",11310
588,"Scrubs of DC916","None",11310
589,"ChaMd5安全团队","ChaMd5安全团队",11260
590,"just4fun","N/A",11235
591,"technic","VSI",11235
592,"Kdawg and the Funky Bunch","Houston High School",11235
593,"Ne0Lux-C1PH3r","3WA PARIS",11235
594,"MTD","aaa",11210
595,"Kr'hacken","ENSIBS",11210
596,"sigpwny","UIUC",11210
597,"rzaytsev","HSE",11210
598,"nspace","1337",11210
599,"hellofriendos","NUS High",11210
600,"0x41414141","UNSW",11185
601,"Hazama_Darts","Hazama",11185
602,"godzqa","IIT Roorkee",11185
603,"test12345678","nbg",11185
604,"SHARK","AIUR",11160
605,"SudOroot","SudOroot",11135
606,"matej459","Universiteit van Amsterdam",11135
607,"🔗🔗🔗 only connectors 🔗🔗🔗","Massachusetts Institute of Technology",11135
608,"UIT","BKU",11135
609,"sakekasu","sakekasu",11110
610,"HT_Grass","High Technology High School",11110
611,"Dangling Pointers","Georgia Tech",11085
612,"throgers0","Debakey High School, Houston TX",11085
613,"stanleypines","ICMC USP",11085
614,"yHack","Brigham Young University",11085
615,"duckee","Massachusetts Institute of Technology",11060
616,"C4C","Saudi Arabia",11060
617,"PetCatGetFlag","PetCatGetFlag",11060
618,"((̲̅ ̲̅(̲̅C̲̅r̲̅a̲̅y̲̅o̲̅l̲̲̅̅a̲̅( ̲̅((>","Canterbury High School",11060
619,"Charybdis","Magdalen College School",11035
620,"Darc","Zeroed",11035
621,"uname","Cambridge Rindge and Latin School",11035
622,"D33P R3D","MIPT",11010
623,"Mujhe kya pata","IIT Bombay",11010
624,"0x000505AD","Blocksquare Limited",11010
625,"Bot852","Hong Kong Polytechnic University",11010
626,"noob_noob","Places",10985
627,"l0wk3y","N0n3",10985
628,"\x90","UNSW",10985
629,"BaconIpsum","Bank",10985
630,"KAMSC Cyber","Kalamazoo Area of Math and Science center",10985
631,"Purple Party Panda Bears","Green Valley High School, Henderson, Nevada",10985
632,"Benefactori","School #1540",10935
633,"purge_n00b","IIT Roorkee",10935
634,"Tantastic team","Westfälische Hochschule",10935
635,"THANOSCAR!!","Sentinel",10935
636,"sdfhsidhflsdjhfksjh","shdifh",10910
637,"Bobaholics","Bobaholics",10885
638,"bleleet","freelancer",10860
639,"leporidae","NTHU",10860
640,"g3tschw!fty","IIT Roorkee",10860
641,"At CTFs We Wear Pink","At CTFs We Wear Pink",10835
642,"Team PowerPrinter","Team Powerprinter",10835
643,"LoveLive","Madamim and Umanoinut Amal",10810
644,"notroot","Bev Facey High School",10810
645,"intelliGainz","asdf",10785
646,"kriths","leaf",10785
647,"beaniethemeanie","Bedes, sussex england",10785
648,"The Acid Rockers","Millard North High School",10785
649,"ekq","Montgomery Blair, Silver Spring, Maryland",10760
650,"gxmodp","Foo",10735
651,"JSec1","한아전",10735
652,"aksyoa","The Nueva School",10710
653,"Digital Dragons","Beijing National Day School",10710
654,"0xJohannes","Photon",10710
655,"KENEK","Tokyo Institute of Technology",10710
656,"T.E.A.R.Y","Troy High School",10710
657,"West Brunswick High School B Team","Princeton University, Princeton, NJ",10685
658,"DROP TABLE teams;--","Poolesville High School",10685
659,"Mr Stark, I don't feel so good","Vernon Hills High School",10685
660,"phlint","USMA",10685
661,"GavaAnaDady","None",10685
662,"CLtheorem","厦门大学",10685
663,"PinkFlamingo","My Company",10660
664,"T-lab","Titech",10660
665,"ju256_TriHard7","Yoink",10635
666,"stealth","Dimigo",10635
667,"may","Ichikawa High School",10635
668,"Pomelo","Hisar School",10610
669,"noobteam1","IST",10610
